"id","answer","polarity","subjectivity","sentiment"
751,"Several years of reorganizations, furloughs, layoffs, and managements refusal to fill key positions have negatively impacted the company's once strong culture. Employees all over the U.S. have been fo",0.0333333333,0.5333333333,"neu"
752,"Upper management had poor planning for future work. The benefits are being severely reduced and raises are pathetic. The company continues to blame the economy, while at the same time making huge prof",-0.1666666667,0.4583333333,"neu"
753,"Too many to list them. A million organizational problems. All surround decentralized operations. Onboarding was horrendous. Hiring processes are out of sync with market. Company is still doing things",0.5,0.5,"pos"
754,"Low payConstant threat of layoffsBenefit cutsExpensive health insuranceCEO pay and bonus seems unlimited while workers suffer",0,0.3,"neu"
755,"Upper management is a joke! There is an extremely high turnover rate of cell leaders, but what do you expect when salary people are expected to take a week off without pay once every quarter. The heal",0.02,0.3133333333,"neu"
756,"Very little job security, more and more benefits taken away, poor management, tons of busy work and red tape, make no effort to treat employees well, Performance and Development system is a joke",0.0760416667,0.425,"neu"
757,"Political at times. Lot of alcoholics it seems. Good old boy network. Too much paperwork and training. More work time less web crap to fill out.",0.0761904762,0.3523809524,"neu"
758,"Benefits weren't made known clearly enough. Depending on circumstances of projects, it can either be to your liking or not.",0,0.5,"neu"
759,"The telecommuting agreements changes during 2016 limiting the use of it and limited recognitions to employee efforts and the work force reduction done during 2016.",-0.0714285714,0.1428571429,"neu"
760,"Very spotty career paths with US workforce being constantly reduced. Severe lack of positive re-enforcement. Poor Job stability. Support workforce teams are highly disjointed which basically eliminate",0.0374545455,0.4637575758,"neu"
761,"Last January I had 25 days of vacation to use when I chose. This year I have zero. If my supervisor feels like rewarding me -and provided the company gives him a budget to pay me - I may be able to ge",0.3333333333,0.5638888889,"pos"
762,"terrible place to work.....no job advancement, low pay. no raises, the management team could care less about there people....I have been here 10 years and dread waking up for work every morning",-0.3888888889,0.4555555556,"neg"
763,"performance culture, operational execution, financial performance Benefits, shift to a contingent worker workforce model, transition of leadership team",-0.05,0.3,"neu"
764,"decent pay and great coworkers bad benefits and low employee worth",0.1133333333,0.4966666667,"neu"
765,"If you are here, find a new company Do not come here if you are smart",0.1753246753,0.5487012987,"neu"
766,"Worst company to work for. Ever. Horrible environment, terrible leadership, no respect for employees. No benefits or appreciation for anything employees do. Furloughs, no raises, terrible bonus. Very",-0.76,0.86,"vneg"
767,"Direct management is top notch upper level management is terrible",-0.1,0.475,"neu"
768,"As of now there are none There is no more flexibility.",-0.25,0.5,"neg"
769,"It's a job.....use to be a great company Everyone pays for the error of one person",0.8,0.75,"vpos"
770,"Good team membersCareer opportunities within divisions Unsure about the future with current management style",0.2333333333,0.375,"pos"
771,"No working from home anymore, even for workers that were full time remote but you must drive in to some random office. It's CONTINUOUS lay offs, pay cuts, no raises, benefit cuts... I mean continuous!",-0.16015625,0.484375,"neu"
772,"Dave Cote strip mines the businesses and employees to make the numbers each quarter. No raises in 2 years and furloughs which resulted in a reduction in pay. Keep in mind this is taking place while th",0,0,"neu"
773,"Worked at a plant, which was difficult on my sinuses. It was only a contract job, so it only lasted a short time.",-0.125,0.825,"neu"
774,"Big co with many products and industry leader with changes Aggressive management is detrimental to employee moral",0.1666666667,0.2833333333,"neu"
775,"Tuition Reimbursement. Good Networking events Constant leadership changes/ restructure. Furloughs",0.35,0.4666666667,"pos"
776,"50+ hours a week expected (more before/after furlough weeks), week long furloughs, quarterly layoffs, out of touch management. Eliminated the ability to work from home to encourage collaboration (90%",0.1166666667,0.4333333333,"neu"
777,"Unfortunately for me, the opportunities to continue to work at a great company was cut short due to their unwillingness to allow for remote work/telecommuting--even though many of the projects that I",0.0958333333,0.5208333333,"neu"
778,"Benefits keep getting worst year over year. Constant threat of your job being outsources and new furloughs. The company is trying to get employees to believe working for Honeywell is a privilege and o",-0.2878787879,0.595959596,"neg"
779,"They seem to follow the motto of do more with less because it seems to be about making stockholders happy.",0.3777777778,0.5222222222,"pos"
780,"good training, pay is good high insurance costs, keeps increasing",0.52,0.58,"pos"
781,"good pay and benefits, good atmosphere lots of walking, and high rate target",0.52,0.58,"pos"
782,"Early hours, weekends free. early hours, and long drives to the jobsite sometimes.",0.1375,0.45,"neu"
783,"Lacks one-ness throughout the company. Primary sources of division continue to undermine it's target employees and positions. Like knowing you have a cancer but you are afraid of addressing it at the",-0.1,0.7,"neu"
784,"Where to start? Possibly the worst engineering company you could ever work for.Expect to see furloughs on a periodic basis while the CEO gets record bonuses for record profits. Expect to be overworked",-0.5,1,"neg"
785,"Honeywell has some great People. Overall positive experience. I would recommend. Salary was less than competitive.",0.2151515152,0.340530303,"pos"
786,"Onboarding is non existent. Benefits are horribly expensive for such a large co. No remote working policy is very last century and restrictive. Not risk takers.",-0.0471428571,0.383047619,"neu"
787,"Site is experiencing major job shrinkage and the employee moral is quite low at this moment. The company seems more interested in moving jobs overseas than working to expand business in the U.S.",0.1625,0.41,"neu"
788,"The people are great and extremely helpful. The Industry is extremely addictive and fun to learn about. Unfortunately, Honeywell keeps taking benefits away and does not have competitive salaries.",0.095,0.77,"neu"
789,"Offers many career paths and job opportunities. Values shareholder return over people.",0.3,0.25,"pos"
790,"Typical Corporation mentality rewarding only stockholders & UPPER management. ALWAYS looking to cut labor costs (including benefits). OUTSOURCING seems the new profit center (often at a cost to the cu",0.0616161616,0.5090909091,"neu"
791,"Used to be a great place to work The healthcare plan is awful. They nickle and dime you for everything",-0.1,0.875,"neu"
792,"lots of diverse projects to work they treat people like equipment, discard when done",0,0,"neu"
793,"Took away work from home (used to be a big benefit), took away allocated vacation time (now unlimited with manager approval), no raises in years, continue to layoff employees and ask others to pick",0,0.1,"neu"
794,"Sometimes we might have to work with legacy code which could be old without much documentation",0.15,0.2,"neu"
795,"Was a great company Everything has changed. Seem to be all about the money.",0.8,0.75,"vpos"
796,"Lots of them. Morale is very low and getting lower for those in the lower ranks. I've been at Honeywell just over a year and am facing my fourth unpaid furlough. Didn't get the raise I was promised at",0.0666666667,0.2633333333,"neu"
797,"Benefits are not competitive, a million approvals for everything, normal corporate politics",0.075,0.325,"neu"
798,"Leadership is currently leading without a clear defined plan which is causing a lot of insecurity and chaos. Leadership is perceived as untrustworthy.",0.05,0.3916666667,"neu"
799,"FurloughsNo merit increases last last few yearsRIFsTop heavyOverburdened with processes and no elimination of duplicate/redundant reports and deliverables",-0.0666666667,0.0777777778,"neu"
800,"Too many processes that stand in the way of actually delivering.Forced furloughs, lay offs, bonuses, retirement and medical benefits cut. While senior leadership continues to have half million dollar",0.0833333333,0.1916666667,"neu"
801,"Company run by HR and metrics. The combined effect was a deviation from original Engineering company into a company driven by perception",0.375,0.75,"pos"
802,"Trying to rebuild. Going from a cost cutting and money saving organization to growing the business more. Hired a lot of sales people but furloughed or encouraged others to retire. Remote working is di",-0.0666666667,0.5333333333,"neu"
803,"Poor benefits, minimal if any merit increases, last minute furlough notification, knee jerk reactions to conditions instead of mid to long term considerations.",-0.11,0.3333333333,"neu"
804,"Management continues to chase short-term dollars in a myopic exercise to increase shareholder value. In the process, they continually overwork and push employees to deliver with no reward. As a thank",0,0,"neu"
805,"Honeywell is process driven to an excess - gets bogged down with a lot of corporate baggage, i.e. check box type reporting. Internal product support is cumbersome, slow, and difficult. Sales teams are",-0.1925925926,0.2981481481,"neu"
806,"Very Nice place to work Contract was to short. was supposed to last at least six months.",0.12,0.4416666667,"neu"
807,"Able to do a flexible schedule; Most employees are dedicated and great to work with. Some of the executive leaders could be better. No real career growth.",0.44,0.535,"pos"
808,"Benefits weren't that great, Typical high deductible benefits costs. Management can set unrealistic expectations and hold strict accountability. Furloughs are rough.",0.0386666667,0.638,"neu"
809,"There a quite a few individuals now at the directors level who I do not think deserve to be there and in all likelihood there to fulfill a quota requirement...which is sad as they still need to mature",-0.2,0.4,"neu"
810,"Constant worry about layoffs; unpaid furloughs; very costly insurance benefits; no raises or bonuses; backwards thinking management; no dental; no acrued vacation, only 56 hours a year pto no matter h",0.1,0.5083333333,"neu"
811,"Poor and inadequate communication by leadershipLeadership indecisivenessLeadership too much into detail; perceived lack of trust in employeesSignificantly reduced benefits; layoffs; furloughs all to m",-0.1,0.4,"neu"
812,"Lots of travel, good corporate discounts, a lot of autonomy. Technically part time so can be without work for several weeks at a time.",0.175,0.175,"neu"
813,"The pay for newer technicians (<10 years) is extremely below the market pay scales. There are no longer pension plans, 401K match is a pathetic .375% match up to 8% of you contributions for the first",-0.2916666667,0.7777777778,"neg"
814,"Does not care about its employees. The benefits compared to other companies of the same industry is one of the worse.",-0.175,0.3666666667,"neu"
815,"Leadership is out of touchTalks the right things but no follow throughNo vision past current quarterVery bad benefitsPay is 10% under market... and they know it",-0.1660714286,0.4630952381,"neu"
816,"Advancement into jobs above Sr. Engineer difficult. Benefits decreasing year over year. Negative work environment due to employee dissatisfaction.",-0.23125,0.46875,"neg"
817,"Great people, most everyone was very supportive and helpful. Upper management and the HR dept.",0.4875,0.5625,"pos"
818,"Did not really have much cons to say about Honeywell. Sometimes there was too much non value added activities going on.",0.1,0.2,"neu"
819,"The company is generally out of touch with its employees. Leadership in the company doesn't appear to value their employees and view them only as a number. They value shareholders over employees. Poor",-0.1166666667,0.7,"neu"
820,"Hostile work environmentHigh insurance costsLacks opportunitiesWhile corporate says people are their highest priority, the people do not feel they are respected or needed",0,0,"neu"
821,"Management demands more productivity with less resources, funding, and schedule. 60 hour weeks are the norm and expected. Product quality is poor and requirements appear to be optional for mission cri",-0.0416666667,0.3916666667,"neu"
822,"Horrible corporate mentality. Profits are first, followed by hardware, followed by manager's bonuses, followed by investment on emerging markets. People are not viewed as an asset rather a commodity a",-0.25,0.4444444444,"neg"
823,"Continued attack on costs most often comes at the expense of the employee benefits. Manangement is almost exclusively shareholder centric.",0.25,0.3,"pos"
824,"not sure what to say They do not value their employees",-0.25,0.8888888889,"neg"
825,"Mostly good, respectable people to work with. Poor work environment,old buildings, unhealthy, bad morale.",-0.06,0.6133333333,"neu"
826,"This used to be a great place to work until around 3 years ago, used to have great benefits Losing jobs fast. Selling off Aerospace quickly. Selling manufacturing to Canadian companies",0.5333333333,0.65,"pos"
827,"Honeywell is powered by Corporate Greed. They have a notorious reputation for offering very poor union contracts to their unionized plants. When these contracts are rejected, they kick their employees",-0.26,0.39,"neg"
828,"Large company. With many opportunities Terrible culture. Which means low morale",-0.0714285714,0.5571428571,"neu"
829,"That particular business was sold to an off-shore holding company, and the lab. was disbanded.",0.1666666667,0.3333333333,"neu"
830,"This is just the wrong time to be in Aerospace all together. This year alone they have done 2 rounds of layoff, and a 3rd is in the works now. We gone through 2 rounds of weekly furloughs as well. Now",-0.25,0.45,"neg"
831,"In the 18 months or so I've worked here, there have been 4 furloughs, 3 layoffs, a decision for no raises, increased health insurance with reduced coverage, and a new ban on working remotely. They've",0.0181818182,0.3272727273,"neu"
832,"Very Cheap Company. Cheapest I have ever worked at. Low Salary; No Raise for all; Layoffs; They set you up to fail; Most people quit; People don't even look at you when you pass them by in the hallway",0.13,0.5025,"neu"
833,"Leadership team and structure transitions every 1-2 years. New initiatives which require culture change are continually being rolled out. The constant upheavals are exhausting. Difficult to deploy gre",-0.1909090909,0.571969697,"neu"
834,"The company I worked for in WA state was acquired by Honeywell in 2013. The division of Honeywell that I worked in does a poor job of making employees feel like they are valued contributors, and the d",-0.4,0.6,"neg"
835,"work and life balance, reasonable payment, safe working environment too many meetings but no enough actions to follow the meeting minutes",0.3,0.525,"pos"
836,"Good people to work with, fair salary, decent facilities Poor Benefits, long hours, management",0.2233333333,0.6333333333,"pos"
837,"The leadership team does not support the employees. Many in the rank and file at Honeywell consider the leadership team's order of precedence to be (starting with most important): self, shareholders,",0.12,0.6,"neu"
838,"The cons are that is difficult to increase your salary and promotion. You have to jump to another department to get a promotion.",-0.5,1,"neg"
839,"Working for or with Honeywell is a detriment to your health. Honeywell makes its money on acquisitions - they buy up profitable companies, consolidate and outsource jobs, steal their technologies, mov",0,0,"neu"
840,"A large corporation so lots of opportunities to move around to other positions Has been around for years so some approaches and processes could use a refresh to stay current",0.0297619048,0.4011904762,"neu"
841,"Good People, Huge company, Great food Nothing much all great.....overall good",0.56,0.61,"pos"
842,"no perks, health insurance cost rise every year, they dropped dental for next year. furloughs,merit freezes, and reduction in force despite company growth and gangbuster stock price. eliminated teleco",0,0,"neu"
843,"Honeywell is a very conservative company. They are not risk adverse and can sometimes become a little stifling.",0.00625,0.4,"neu"
844,"Good place to gain technical experience. lot of opportunity to learn new technology and grow inside the company paid are not competitive . periodic layoff, forlorn and salary freeze",0.2787878788,0.3848484848,"pos"
845,"Hi Tech ProductsGreat CustomersLegacy of great products ManagementLack of ProcessLack of QualityPoor Morale",0.8,0.75,"vpos"
846,"Learn world class systems and tools Not very focused on people",-0.1,0.3,"neu"
847,"First learning opportunityLearning opportunityFriendly coworker Business managementNot specified tasks. (Lots of extra work, Waste)Health benefitFurloughNo cash bonus",0.125,0.2166666667,"neu"
848,"The corporate culture is terrible right now. I've heard from older coworkers that Honeywell was once a great place to work. Now they're having furloughs and layoffs left and right, taking away benefit",0.0768707483,0.4506802721,"neu"
849,"Great team environment that allows you to grow. The worry of a looming furlough every quarter is not a good thing. YTD almost 5% of my salary lost to furlough activities.",0.225,0.675,"pos"
850,"The corporation doesn't seem to care about it's employees. Benefits are horrible. Took away the opportunity to work from home. No raise in almost two years.",-1,1,"vneg"
851,"Job stability and peace of mind. 9-5 type of job No overtime, tend to get bored doing the same thing everyday",-0.2333333333,0.575,"neg"
852,"Great people in the trenches. Good place to make position changes and lateral moves You come to realize you are valued like a machine or piece of equipment that is worn down and replaced",0.4481481481,0.5462962963,"pos"
853,"Shrinking benefits. Constant fear of furloughs, RIFS, wage freezes. Little opportunity for continuous education. Worklife balance is poor.",-0.1958333333,0.4777777778,"neu"
854,"Working with global resources that often required late night meetings.Multiple layoffs and furloughs since I started working there, that eventually impacted me in the end.Average Benefits with little",-0.1625,0.3666666667,"neu"
855,"great company great trainingb and many more much changes all day in benefits and salaires",0.56,0.54,"pos"
856,"Upper management has been systematically removing all perks of the job. No more work from home, no more raises, even higher cost on the already outrageous health insurance. They want to attract top ta",-0.125,0.5,"neu"
857,"Brand recognition. Access to a broad knowledge database. Large workforce and networking capacity. Declining benefits, Push to move talent and skills out of US into China and other low cost regions.",0.0379464286,0.3540178571,"neu"
858,"When push came to shove they stuck with its the Honeywell way. SO bad processes kept being bad processes. No one was willing to make anyone uncomfortable in the name of progress.",-0.4125,0.7708333333,"neg"
859,"Company subject to aerospace market fluctuations for business.",-0.1666666667,0.3333333333,"neu"
860,"Low Pay IncreasesVery Limited Educational Benefits (High Performers Only)Health Benefits continually decreaseVery High Deductible Health PlanNo HSA Company ContributionVirtually no Dental insurance co",0.0997142857,0.3545714286,"neu"
861,"Good pay. Great people. No flexible work hours anymore have killed the remaining motivation employees were able to muster after slowly getting all perks and benefits pulled from them.",0.3,0.475,"pos"
862,"Benefits are decent compared to other companies Furloughs and layoffs are to be expected.",-0.0194444444,0.4805555556,"neu"
863,"A big company with big company processes that can be quite stifling and cumbersome. has proven itself to be somewhat vulnerable to market downturns. Furloughs and layoffs have been occurring with some",-0.1666666667,0.2333333333,"neu"
864,"Well - pretty much everything. Management is where it starts and management is where it ends. It's pathetic.",-0.1833333333,0.7333333333,"neu"
865,"Lower management usually works towards, must fill this out later Unless you are in upper management you will bear the brunt, must fill this out later",-0.0625,0.0625,"neu"
866,"Executive management has no clue what they are doing. 3 restructures in 2 years and they keep on squeezing everyone to do more work with less.",0.1666666667,0.2833333333,"neu"
867,"Large enough company with ability to move around in roles. Current economy and business decisions are weighing heavy on employee moral and culture.",0.0028571429,0.4157142857,"neu"
868,"Aerospace contracts come and go - That's the nature of the business. Government contracts do not always allow you to work in an agile environment, or with the latest tools and software. It may be diff",0.5,0.825,"pos"
869,"Stable Employment and good workforce. No raises; very poor Health Ins Plan; a complacent leadership with no vision and effective marketing strategies; a grossly overpaid CEO.",0.195,0.545,"neu"
870,"Fun products to work on and interesting technology. Micro managed from the top. Focused on operational costs and not strategic planning.",0.4333333333,0.4,"pos"
871,"Bad medical insurance, very high deductible and by January of 2017 employee will be responsible for full cost of dental insurance.",0.0116,0.4937333333,"neu"
872,"Culture of work hard, work hard. Not much work life balance and company continually increases responsibility without increasing compensation. Benefit and head count reductions year over year.",-0.2277777778,0.4277777778,"neg"
873,"Honeywell used to be a great company, but it all changed after the merger with Allied Signal in 1999.Work environment is completely unstable (in the past year there were 2 major re-orgs and 5 layoffs)",0.178125,0.475,"neu"
874,"Furloughs, layoffs, reduced benefits, no raises, reduced bonus, forced unpaid overtime, rampant corporate greed, impossible yield goals - what's not to like?",-0.1916666667,0.4,"neu"
875,"Great management, very professional. Friendly co worker Small room to grow. Repeatative job",0.26375,0.445,"pos"
876,"Compensation is at industry standard. Business outlook and the leadership reaction is creating a negative culture.",-0.15,0.2,"neu"
877,"Hostile work environment, aggressive HR to keep turn over rate high, poor raises (1 - 2%), management out of touch with employees, understaffed programs forces mandatory overtime. Dave Cote.",-0.12,0.57,"neu"
878,"-The company, especially Aerospace, is financially struggling and has announced several furloughs and layoffs every quarter of 2016-Doesn't allow employees to work from home regularly because they pla",0,0.2692307692,"neu"
879,"Close to home and convenient. Low pay, furloughs, less and less benefits.",-0.1111111111,0.1444444444,"neu"
880,"I've been here for 10 years and have seen the benefits deteriorate almost to nothing. This is a lesson to the youngsters to demand things that they may not be aware of. This is what I had when I start",0.25,0.25,"pos"
881,"People are treated like cattle; benefits are 2nd rate at best; there is no heart at Honeywell. While employed there, my husband died in a tragic accident. The company did nothing to acknowledge the tr",0.0833333333,0.35,"neu"
882,"You are just a number to the company. The pay could certainly be more competitive. You are working with and around people that could go to work for a different company and make more money. That's why",0.3333333333,0.5333333333,"pos"
883,"Job Security, National Security, good work-life balance Benefits get worse every year",0.15,0.6,"neu"
884,"Great work environment, clean and straight slow in the winter, not too much over time",0.2533333333,0.49,"pos"
885,"Poor benefits.Poor working conditionsHoneywell is moving jobs overseas.No training budgets or support for involvement with professional organizations",-0.15,0.35,"neu"
886,"Anyone who started with UOP has an axe to grind with Honeywell. Any attorneys sent from Honeywell in MN to work for UOP are the rejects with their own axe to grind. Run as fast as you can.",0.4,0.8,"pos"
887,"Benefits, Benefit, Benefits - the company used to have great benefits. My family is now on my wife's benefits because the Honeywell benefits are too costly. As an employee only I still pay over $6000",0.4,0.875,"pos"
888,"Health Insurance is expensive and they have gotten rid of their pensions.",-0.5,0.7,"neg"
889,"I was hired as a remote worker, and accepted the job based on the work from home policy. The company has recently revoked this policy for all workers for no reason. Many of us work globally via Skype,",0.1,0.2375,"neu"
890,"The benefits are horrible and the company seems to only care about immediate results not long term success. Furloughs and layoffs galore.",-0.16875,0.6,"neu"
891,"However, executive leadership does not care for the employees. Market is down and hard decisions need to be made, however, leadership does not think of the team when making these decisions. They give",-0.2236111111,0.4152777778,"neg"
892,"Benefits are declining yearly. Pending RIF's and furloughs hard to take when you have one every quarter. Not competitive in the Aero market anymore.",-0.2916666667,0.5416666667,"neg"
893,"Layoffs, furloughs, no more working from home, terrible management decisions, no pay raises for several consecutive years. It's clear that the company management only cares about profits and stock pri",-0.23,0.5766666667,"neg"
894,"they are hiring mainly h-1b from india for bottom dollarpoor paypoor benefitsmediocre management",0.1666666667,0.3333333333,"neu"
895,"The culture is very unproductive and very discouraging. We are managed by people who have no connection to the product or to the customer, and that seems to be intentional. Management is especially de",0.1333333333,0.5333333333,"neu"
896,"Upper management removed telecommuting, one of the only nice perks of working in Honeywell.The explanation behind it feels more like an excuse.Benefits are bad overall and they keep going worse.",-0.05,0.5583333333,"neu"
897,"Poor business reputation within Colorado Springs area. Unpleasant place to work due to managers that often act poorly.",-0.39375,0.63125,"neg"
898,"Regardless of work ethic, there is a strong sense of exclusion if you aren't friends with the right people. I felt under-valued, under-appreciated, not trusted, under-involved and under challenged.",0.3595238095,0.6345238095,"pos"
899,"Benefits are dwindlingBig company means lots of layers to work through",0,0,"neu"
900,"Large slow moving company. If you live in China or India you will be very happy here. Otherwise, look for no raises, reduced benefits and managers that move around every few years changing the policie",0.1701298701,0.4857142857,"neu"
901,"Global company; opportunities for growth Poor benefits, lack of understanding of today's workforce needs, low salaries, poor communication with employees",-0.2,0.375,"neg"
902,"poor salary scale, very poor side benefits. There are furloughs (two one-week furloughs this year, and another one coming in december). Skipped salary increases this year.",-0.46,0.69,"neg"
903,"Benefits are substandard. Next year they will no longer offer Dental coverage. Lots of turmoil and a lack of direction.",0,0,"neu"
904,"Great brand name and promise Expensive benefits, poor morale, cutting costs (people) to meet earnings projections...what else can I say?",-0.175,0.7375,"neu"
905,"While the stock prices rise, and the CEO rakes in over $20M, Honeywell Aerospace employees did not receive raises in 2016. Further, nearly all non-manufacturing employees had to take 2 weeks of unpaid",0.1,0.4333333333,"neu"
906,"The people and the products They have no clue what kind of company they want to be",0.6,0.9,"vpos"
907,"Bureaucracy. Resistance to change defended by that's not the process. It takes too long to halt work on business cases that non longer make sense.",-0.05,0.4,"neu"
908,"The work enviroment is excellent.The business facilities are located in the best place of the city There is not enough parking slots to park your vehicle",0.5,0.4,"pos"
909,"Stability, Good Co-workers, Room for Advancement Health Benefits, Periodic Layoffs",0.7,0.6,"vpos"
910,"Great people to work with! Benefits keep being reduced compared to rest of industry",1,0.75,"vpos"
911,"The people are great to work with. Aerospace business is losing benefits",0.8,0.75,"vpos"
912,"Good hands on work experience. Lack of resources and training.",0.7,0.6,"vpos"
913,"Honeywell purchase of Intermec Technologies created management chaos. Lots of regular layoffs in all locations. New product development being relocated to cheaper labor countries.",0.0681818182,0.2657342657,"neu"
914,"Assume you will go to space where the engineers blame you for everything. They are to lazy to give you a process you can build too. Everyone is spying on each other and the management there takes he s",-0.1875,0.6875,"neu"
915,"Good Product Base - legacy products perform well Top heavy with management and directors",0.05,0.65,"neu"
916,"Friendly co workers, great management, very understanding and helpful, work from home Not very exciting office environment",0.3149038462,0.5413461538,"pos"
917,"Lots of training, lots of interaction with other interns, gave chances for visibility with upper management. Old Building, no windows and not many places to eat lunch in close proximity.",-0.06875,0.26875,"neu"
918,"Corporate initiatives are one size fits all regardless of need.Financial incentives (raises, 401k, and bonuses) are can be greatly reduced at the corporate level regardless of individual achievement.",0.2,0.2875,"pos"
919,"Employees (generally) are really good people. Benefits - very expensive; Cigna difficult to work withSalary is lower than averageSlow to Change anythingNo work from Home (as of 10/2016)",-0.1,0.7525,"neu"
920,"A large company with various job options. For the past several years there has been a significant and steady decrease in the appreciation/investment in employees.",0.0843253968,0.4255952381,"neu"
921,"Benefits and pay are close to the lower end of the spectrum for a fortune 100 company. A lot of upper management changes creates constant changes to strategies and objectives. Implementations of proce",0,0.1666666667,"neu"
922,"Exposure to new technology Poor work cultureLittle to no training",-0.1318181818,0.5272727273,"neu"
923,"Culture, People, Upward mobility, Real world learning Fast-paced environment (swim or drown)",0.2,0.3,"pos"
924,"Career growth and path. Fantastic job security working for a large company with an emphasis on growth and market capture. Large company which comes with processes, mostly to protect employees.",0.3321428571,0.5642857143,"pos"
925,"Small group under large corporation Limited personal challenge oportunity and creativity",-0.0267857143,0.3178571429,"neu"
926,"Honeywell Aerospace has lost its focus in the last year. Their focus used to be on the customer and now it is on bonus' for the upper Aerospace management.",0,0.0333333333,"neu"
927,"The only Pros are in the past. The company has become cut throat. One word.... the CEO, Dave Cote, has targeted senior staff in the pursuit of the all mighty dollar. He is despicable.",0.05,0.7166666667,"neu"
928,"Profitable, free and friendly atmosphere Poor benefits, low salaries, high expectations for salary",0.107,0.548,"neu"
929,"Strong brand opens doors. Pension and 401k match. Rigid and very risk averse. Lacks flexibility and creative control.",0.3777777778,0.6777777778,"pos"
930,"Position didn't require extensive travel Didn't care for the job atmosphere",0,0.3333333333,"neu"
931,"Work on small team with great manager. No employees received raises this year (2016)",0.275,0.575,"pos"
932,"Lot of learning and meet new people actually there ara no cons",0.0681818182,0.2772727273,"neu"
933,"Good life and work balance short term vision, next quarter",0.2333333333,0.3,"pos"
934,"No more remote working. No promotions or raises. They do reviews on a bell curve so someone is always getting shafted. Morale is really bad.",-0.35,0.4555555556,"neg"
935,"All stick - no carrot mentalityHorrible healthcare - no dentalhorrible politicsNo agility / flexibilityEGOS abound - start at the top; it's a rarity to find a decent manager.Salaries below average",0.1722222222,0.5222222222,"neu"
936,"terrible benefit package; inhuman regard for employees -- you are just a number and can be RIF'd at any time despite your good performance",-0.15,0.8,"neu"
937,"salary and the good name it used to have ceo, layoffs, furlough and benefit reductions",0.7,0.6,"vpos"
938,"Always busy always opportunities for overtime Scheduled overtime, no care about how you're doing. Zero training",0.1,0.3,"neu"
939,"Good Benefits, 401K & work-life balance Not much options to choose for Health Care plan",0.3,0.4,"pos"
940,"nice people, good environment to work trust the employees to get the job done",0.65,0.8,"vpos"
941,"Honeywell Aerospace has focused on cost and process to the detriment of growth. It also has far too many initiatives stretching it far too lean and leading to poor execution.",0.075,0.775,"neu"
942,"aerospace is slow in term of getting new devices onto airplane, so all the project rely on big amount of certification permission. rapid changes do not occur in this environment",-0.0545454545,0.3181818182,"neu"
943,"*Honeywell has gotten to big, in that, they will get what they want 100% of the time. If your on the salary side, Honeywell pretty much eats their own.*$6800.00 premium on a family healthcare plan wit",0.15,0.4333333333,"neu"
944,"Benefits are continuously being reduced. Layoffs and random unpaid week long furloughs occur, even as the company spends $2.5 B buying up other companies, spends $1.9B buying up their own stock, and b",0.025,0.535,"neu"
945,"What was once a super company to work in now just a stepping stone. Benefits are poor, pay raises are few and far between. Heavy OT and no recognition. If you do not have connections do not work here,",-0.0733333333,0.5733333333,"neu"
946,"It can be very demanding. Work life balance is not always the best, Some of its offices are not exactly in the ideal locations",0.49375,0.4625,"pos"
947,"People are nothing more then numbers on a spreadsheet, expectation is you are available to work 24/7 with low merit increases and often salary freezes. All the while the CEO takes multi million dollar",0.3,0.4,"pos"
948,"Good place to work, competent high level management Outsourcing many jobs to developing market areas",0.465,0.5766666667,"pos"
949,"Overworked, 14 hr days, Sr. leadership is only out for stock holders not employees, multiple furloughs and layoffs for those over 50 who have been with co over 10 yrs.",0,0.5,"neu"
950,"I work with some good people and the work we do is important at Honeywell FM&T. Health care plan is getting worse and worse every year.",0.075,0.7,"neu"
951,"Good benefits and good pay Away from family too much",0.5333333333,0.4666666667,"pos"
952,"Aerospace division is significantly hurting. Business is extremely slow and the management is taking away from employees to meet their annual numbers.The company has cut the 2016 salary down by 10% al",-0.0268518519,0.5212962963,"neu"
953,"Lots of different challenges and tasks Management is always changing from year to year",0,0.6,"neu"
954,"Very corporate structure, and time keeping system used for the whole company was not well suited for the fluctuation in work load in my department.",0.1,0.2,"neu"
955,"Upper management does not care about employees. They say employees are the ultimate differentiation, yet they don't focus on their needs. To them, revenue and the bottom line is the ultimate different",0,0.65,"neu"
956,"yes they pay very well they pay well making it hard to leave",-0.0458333333,0.4208333333,"neu"
957,"pay below market, systems issues, lack of decision making by the leadership team, no merit two years in row, and expecting the same in 2017",0,0.125,"neu"
958,"Management encrages for skill improvement Salary and other benefits are lower than the market",-0.125,0.375,"neu"
959,"Very heavy handed shift away from flexible work arrangements. In a nutshell, management has decided to suddenly announce a company wide cancellation of any remote work scenarios with almost no excepti",-0.115,0.4375,"neu"
960,"Compensation. Opportunity for advancement. US based employees top notch. Long hours. More and more off-shoring of jobs.",0.3625,0.475,"pos"
961,"For me this company only downsides is that takes long time for hire. Sometimes the people want to hire them after 30 days",-0.025,0.7,"neu"
962,"There is a decided effort to shift engineering jobs to emerging regions, which is management speak for low cost. As engineers have quit, their positions get shifted to China or India. It doesn't m",0,0.3,"neu"
963,"Large cap company that can sometimes be too big to manage; increasing appetite for moving jobs off shore creating instability in the workforce & thereby morale; women in the workforce in low (has impr",0.0714285714,0.2761904762,"neu"
